Название,Начало Торгов,Погашение,Купон,Периодичность,ISIN
25075,13.02.2012,15.07.2015,"6,88",2,SU25075RMFS1
25077,13.02.2012,20.01.2016,7.35,2,SU25077RMFS7
25079,13.02.2012,03.06.2015,7,2,SU25079RMFS3
25080,25.04.2012,19.04.2017,7.4,2,SU25080RMFS3
25081,06.02.2013,31.01.2018,6.2,2,SU25081RMFS4
25082,19.06.2013,11.05.2016,6,2,SU25082RMFS4
25083,18.10.2017,15.12.2021,7,2,SU25083RMFS5
25084,19.02.2020,04.10.2023,5.3,2,SU25084RMFS5
25085,22.09.2021,24.09.2025,6.4,2,SU25085RMFS6
26202,13.02.2012,17.12.2014,11.2,4,SU26202RMFS0
26203,13.02.2012,03.08.2016,6.9,2,SU26203RMFS8
26204,13.02.2012,15.03.2018,7.5,2,SU26204RMFS6
26205,13.02.2012,14.04.2021,7.6,2,SU26205RMFS3
26206,13.02.2012,14.06.2017,7.4,2,SU26206RMFS1
26207,22.02.2012,03.02.2027,8.15,2,SU26207RMFS9
26208,07.03.2012,27.02.2019,7.5,2,SU26208RMFS7
26209,01.08.2012,20.07.2022,7.6,2,SU26209RMFS5
26210,19.12.2012,11.12.2019,6.8,2,SU26210RMFS3
26211,16.01.2013,25.01.2023,7,2,SU26211RMFS1
26212,23.01.2013,19.01.2028,7.05,2,SU26212RMFS9
26214,23.10.2013,27.05.2020,6.4,2,SU26214RMFS5
26215,18.09.2013,16.08.2023,7,2,SU26215RMFS2
26216,13.11.2013,15.05.2019,6.7,2,SU26216RMFS0
26217,03.02.2016,18.08.2021,7.5,2,SU26217RMFS8
26218,17.02.2016,17.09.2031,8.5,2,SU26218RMFS6
26219,06.07.2016,16.09.2026,7.75,2,SU26219RMFS4
26220,01.02.2017,07.12.2022,7.4,2,SU26220RMFS2
26221,15.03.2017,23.03.2033,7.7,2,SU26221RMFS0
26222,03.05.2017,16.10.2024,7.1,2,SU26222RMFS8
26223,28.02.2018,28.02.2024,6.5,2,SU26223RMFS6
26224,07.03.2018,23.05.2029,6.9,2,SU26224RMFS4
26225,28.02.2018,10.05.2034,7.25,2,SU26225RMFS1
26226,06.02.2019,07.10.2026,7.95,2,SU26226RMFS9
26227,27.03.2019,17.07.2024,7.4,2,SU26227RMFS7
26228,24.04.2019,10.04.2030,7.65,2,SU26228RMFS5
26229,05.06.2019,12.11.2025,7.15,2,SU26229RMFS3
26230,19.06.2019,16.03.2039,7.7,2,SU26230RMFS1
26231,26.07.2019,20.07.2044,0.25,2,SU26231RMFS9
26232,11.12.2019,06.10.2027,6,2,SU26232RMFS7
26233,13.05.2020,18.07.2035,6.1,2,SU26233RMFS5
26234,10.06.2020,16.07.2025,4.5,2,SU26234RMFS3
26235,28.10.2020,12.03.2031,5.9,2,SU26235RMFS0
26236,25.11.2020,17.05.2028,5.7,2,SU26236RMFS8
26237,23.06.2021,14.03.2029,6.7,2,SU26237RMFS6
26238,23.06.2021,15.05.2041,7.1,2,SU26238RMFS4
26239,16.06.2021,23.07.2031,6.9,2,SU26239RMFS2
26240,30.06.2021,30.07.2036,7,2,SU26240RMFS0
26241,16.11.2022,17.11.2032,9.5,2,SU26241RMFS8
26242,25.01.2023,29.08.2029,9,2,SU26242RMFS6
26243,21.06.2023,19.05.2038,9.8,2,SU26243RMFS4
26244,01.11.2023,15.03.2034,11.25,2,SU26244RMFS2